date,card,side,triggered,entry_level,fill_ts,fill_price,exit_ts,exit_price,exit_reason,pnl_yen,mae_yen,mfe_yen,auction_slip_yen
2026-07-31,A,long,1,4745,09:05,4745,15:25,4862,eod_close,11700,-144,308,10.0
2026-07-31,B,short,0,4901,,,,,,,,,10.0
2026-07-31,C,long,0,,,,,,,,,,10.0
2026-07-31,D,long,0,4901,,,,,,,,,10.0
2026-08-03,A,long,1,4774,09:55,4774,15:25,4734,eod_close,-4000,-192,41,-18.0
2026-08-03,B,short,0,4929,,,,,,,,,-18.0
2026-08-03,C,long,0,,,,,,,,,,-18.0
2026-08-03,D,long,0,4929,,,,,,,,,-18.0
2026-08-04,A,long,1,4697,09:15,4697,15:25,4834,eod_close,13700,-149,164,-50.0
2026-08-04,B,short,0,4855,,,,,,,,,-50.0
2026-08-04,C,long,0,,,,,,,,,,-50.0
2026-08-04,D,long,0,4855,,,,,,,,,-50.0
2026-08-05,A,long,1,4807,09:05,4807,15:25,4747,eod_close,-5980,-249,56,47.0
2026-08-05,B,short,0,4957,,,,,,,,,47.0
2026-08-05,C,long,0,,,,,,,,,,47.0
2026-08-05,D,long,0,4957,,,,,,,,,47.0
2026-08-06,A,long,1,4798,09:10,4798,15:25,4757,eod_close,-4120,-223,19,32.0
2026-08-06,B,short,0,4929,,,,,,,,,32.0
2026-08-06,C,long,0,,,,,,,,,,32.0
2026-08-06,D,long,0,4929,,,,,,,,,32.0
2026-08-07,A,long,1,4786,09:05,4786,15:25,4691,eod_close,-9500,-176,159,-18.0
2026-08-07,B,short,0,4801,,,,,,,,,-18.0
2026-08-07,C,long,0,,,,,,,,,,-18.0
2026-08-07,D,long,0,4801,,,,,,,,,-18.0
2026-08-10,A,long,1,4646,09:05,4646,15:25,4689,eod_close,4300,-94,252,11.0
2026-08-10,B,short,0,4761,,,,,,,,,11.0
2026-08-10,C,long,0,,,,,,,,,,11.0
2026-08-10,D,long,0,4761,,,,,,,,,11.0
2026-08-11,A,long,0,4675,,,,,,,,,3.0
2026-08-11,B,short,1,4736,09:25,4736,15:25,4635,eod_close,10100,-143,322,3.0
2026-08-11,C,long,0,,,,,,,,,,3.0
2026-08-11,D,long,0,4736,,,,,,,,,3.0
2026-08-12,A,long,1,4579,09:05,4579,15:25,4674,eod_close,9500,-170,108,-8.0
2026-08-12,B,short,0,4650,,,,,,,,,-8.0
2026-08-12,C,long,0,,,,,,,,,,-8.0
2026-08-12,D,long,0,4650,,,,,,,,,-8.0
